| Sr  | Circular No.                      | Date                 | Subject                                                                                                                                                                           |
|-----|-----------------------------------|----------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| No. |                                   |                      |                                                                                                                                                                                   |
| 113 | IECD.No.CMD.7/<br>03.27.25/95-96          | September 25,<br>1995 | Indirect Housing Finance Interest<br>Rates                                                      |
| 114 | UBD No.DS.(PCB) DIR.10/<br>13.01.00/95-96 | September 29,<br>1995 | Rate<br>of<br>Interest<br>on<br>Advances<br>against Term Deposits.                              |
|     | UBD.No.DS.Cir.PCB.17/<br>13.01.00/95-96   |                       |                                                                                                 |

| 115 | DBOD.No.Dir.BC.108/<br>13.01.09/95        | September 29,<br>1995 | Rate<br>of<br>Interest<br>on<br>Advances<br>against Term Deposits                                                                                  |
|-----|-------------------------------------------|-----------------------|----------------------------------------------------------------------------------------------------------------------------------------------------|
|     | DBOD.No.Dir.BC.109/<br>13.01.09/95        |                       |                                                                                                                                                    |
| 116 | DBOD.No.Dir.BC.98/<br>13.01.04/96         | July 04,<br>1996      | Rate<br>of<br>Interest<br>on<br>Advances<br>against Term Deposits                                                                                  |
| 117 | UBD.No.DS.PCB.CIR.16/<br>13.01.00/96-97   | August 09,<br>1996    | Rate<br>of<br>interest<br>on<br>advances<br>against term deposits                                                                                  |
| 118 | IECD.No.10/<br>04.02.01/96-97             | October 19,<br>1996   | Interest rates on advances -<br>Post<br>shipment Rupee Credit                                                                                      |
| 119 | DBOD.No.Dir.BC.37/<br>13.01.04/99         | April 23,<br>1999     | Advances against Domestic Term<br>Deposits                                                                                                         |
| 120 | DBOD.Dir.BC.153/<br>13.03.00/99-2000      | March 23,<br>2000     | Interest<br>Rates<br>on<br>Advances<br>against<br>Domestic/NRE/FCNR(B)<br>Term Deposits                                                            |
|     | DBOD.No.Dir.BC.151/<br>13.03.00/99-2000   |                       |                                                                                                                                                    |
|     | DBOD.No.Dir.BC.152/<br>13.03.00/2000      |                       |                                                                                                                                                    |
| 121 | UBD.No.DS(PCB)CIR.20/<br>13.01.00/2000-01 | December 22,<br>2000  | Rate<br>of<br>Interest<br>on<br>Advances<br>against Term Deposits                                                                                  |
|     | UBD.No.DS.DIR.5/<br>13.01.00/2000-01      |                       |                                                                                                                                                    |
| 122 | UBD.No.DS.PCB.CIR.32/<br>13.04.00/2001-02 | March 02,<br>2002     | Interest Rates on Advances                                                                                                                         |
|     | UBD.No.DS.PCB.DIR.3/<br>13.04.00/2001-02  |                       |                                                                                                                                                    |
| 123 | DBOD.No.Dir.BC.60/<br>C.218(a)-82         | June 09,<br>1982      | Selective Credit Control -<br>Rate of<br>Interest<br>on<br>Advances<br>against<br>Paddy and Rice Millers in Bengal                                 |
| 124 | DBOD.No.Dir.BC.62/<br>C.218(a)-84         | July 04,<br>1984      | Selective<br>Credit<br>Control<br>-<br>Advances against Paddy/Rice to<br>Shelling Units/Mills                                                      |
| 125 | DBOD.No.Dir.BC.67/<br>C.218(a)-85         | May 28,<br>1985       | Selective Credit Control -<br>Rate of<br>Interest<br>on<br>Advances<br>against<br>Stocks<br>of<br>Paddy/Rice<br>to<br>Rice<br>Shelling Units/Mills |
| 126 | DBOD.No.Dir.BC.35/<br>C.218-88            | October 08,<br>1988   | Selective<br>Credit<br>Control<br>-<br>Advances<br>against<br>Sensitive<br>Commodities -<br>Rate of Interest                                       |
|     | DBOD.No.Dir.BC.34/<br>C.218-88            |                       | Selective Credit Control-<br>Rate of<br>Interest                                                                                                   |
| 127 | DBOD.No.GCS.BC.87/<br>C.486-73            | August 01,<br>1973    | Passing Hindi Examinations Entry<br>in the Service Record                                                                                          |

| 128 | DBOD.No.GCS.BC.95/<br>C.486-73   | August 18,<br>1973    | Use of Hindi in Bank Constitution<br>of<br>the<br>Official<br>Languages<br>Implementation Committee in the<br>Public Sector Banks                                                                                        |
|-----|----------------------------------|-----------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 129 | DBOD.No.GCS.BC.114/<br>C.486-73  | October 22,<br>1973   | Use of Hindi in Banks                                                                                                                                                                                                    |
| 130 | DBOD.No.GCS.B.C.115/<br>C.486-73 | October 23,<br>1973   | Issue of Circular Letters Intended<br>for all State Governments Both in<br>Hindi and English                                                                                                                             |
| 131 | DBOD.No.GCS.BC.140/<br>C.486-73  | November 28,<br>1973  | Use of Hindi in Banks -<br>Use of<br>Hindi In Rubber Stamps, Office<br>Seals,<br>Letter-Heads<br>and<br>Envelopes                                                                                                        |
| 132 | DBOD.No.GCS.BC.149/<br>C.486-73  | December 13,<br>1973  | Prompt<br>Circulation<br>of<br>Orders<br>regarding Progressive Use of Hindi<br>by the Ministries etc.                                                                                                                    |
| 133 | DBOD.No.GCS.BC.6/<br>C.486-74    | January 12,<br>1974   | Minutes of the 10th Meeting of the<br>Official Languages Implementation<br>Committee of the Department of<br>Banking,<br>Ministry<br>of<br>Finance,<br>Government of India, New Delhi,<br>held on the 17th November 1973 |
